Course ID,Course Title,Categories,Description,提供元
525288,Photoshop 合成ワークショップ：恐怖！スズメバチの来襲,クリエイティブ,太陽光線、透明な素材、立体感の表現など、リアルな質感で爽やかな朝食テーブルを再現するPhotoshopトレーニングがある。Uli Staiger氏が開発したカリキュラムを、日本向けに再構築し、写真のコラージュだけでなくイラストにも有効なテクニックを提供。ヨーロッパトップクラスのテクニックが得られる。,Linked_in
525047,PowerPoint 2013 プロが使う便利・快速テクニック,ビジネス,プレゼンテーションの目的は、スライドを作成することではなく、スライド制作のスピードアップとクオリティの向上が求められる。このコースでは、プロが使用するショートカットテクニックやパネルディスカッション、アニメーション効果などがレクチャーされ、プレゼンテーション業界に関心のある人にとって必須の授業である。,Linked_in
3090060,Power Automate 入門,"ビジネス, テクノロジー",Power Automateを使用することで、定型作業を自動化できます。このコースでは、初めて触れる人を対象に、出退勤報告を簡略化するフローやウェブページのデータをExcelに転記するフローや、クラウドフローとデスクトップフローの違いなどを交えて、Power Automateの使い方を解説します。それにより、自動化をどのように行うかが理解できます。,Linked_in
2887291,ウィークリービジネス英語シリーズ,ビジネス,ビジネス英語のフレーズを覚えることで、円滑なビジネスや良好なパートナーシップを築くことができます。このウィークリーシリーズでは、ビジネスでよく使うフレーズを紹介し、例文や覚えるコツも提供します。使いやすいフレーズばかりなので、今すぐ取り入れてみましょう。,Linked_in
769312,Wordで行う差し込み印刷,ビジネス,Wordの差し込み印刷機能を使えば、顧客の個別情報を入力しなくても、メールや文書に差し込んで印刷・送信できます。ExcelやAccess、Outlookなどのデータを使用し、宛名ラベル・封筒・はがき、またはメールの宛先にも差し込む手順を本コースで詳しく解説します。Wordで作業時間を短縮し、生産性を高めることができます。,Linked_in
535091,Photoshopで簡単におしゃれな3Dイメージを作ろう!,"テクノロジー, クリエイティブ",Photoshopには3D編集機能があり、既存の3Dモデルにテクスチャを貼り付けることができる。初心者でも簡単に使え、プリセットの利用方法からテキスト表現まで解説するコースがある。Photoshopで3Dのスキルアップを目指そう。,Linked_in
692724,Microsoft Project 入門,ビジネス,Microsoft Projectは長期・大規模プロジェクトのマネジメントに使われるツール。このコースでは初心者でもステップバイステップで使い方を学べる。タスクのリスト作成や依存関係設定、リソース割り当て方法からガントチャートの印刷やレポート作成まで紹介。自身のプロジェクトに活用したい人におすすめ。,Linked_in
5013958,マネジメントの基礎,ビジネス,優れたマネージャーは部下や組織を成功に導き、多くの業務を同時にこなすことができる。このコースでは、尊敬されるマネージャーになる方法を解説し、マネジメントスタイルの選択、人材採用、業績管理などを紹介する。同僚からマネージャーになったり、部下の解雇など難しい状況への対処方法も学ぶことができる。,Linked_in
561377,Photoshop デジタル絵画入門：レイヤー編,クリエイティブ,このコースではPhotoshopを使ったデジタルペインティングの基礎を解説し、キャンバスや描画ツールの設定、色調整や描き終わった絵の最終調整などデジタル絵画やイラストを描くさいに使える便利な機能を学びます。Photoshopの機能を活用することでクオリティの高い絵作りができます。,Linked_in
561379,Photoshop スケッチ入門,クリエイティブ,本コースでは、Photoshopで使えるオリジナル鉛筆やペンブラシ、レイヤーを使って、デジタルらしいスケッチを描く方法を紹介しています。ドローイングによって、絵画のアイデアを頭にストックすることができます。スケッチに役立つ小さなテクニックや描くときのポイントも紹介しています。完全な作品の仕上げを目指してみましょう。,Linked_in
564407,Dreamweaver CC 2017の新機能,"クリエイティブ, テクノロジー","Dreamweaver CC 2017, which was previously released as beta, has been officially launched, with new design improvements and coding efficiency features aimed at improving workflow. The course covers all the useful new features, from code quick editing and reinforced code hinting to multi-cursor, along with shortcuts to enhance work efficiency. With a topic-by-topic breakdown, users can focus on any aspect that interests them. Take this course and try the new Dreamweaver CC 2017 for yourself.",Linked_in
561373,PowerPoint 伝わる資料を作るためのスライド作成術,ビジネス,PowerPointはプレゼンテーション用のソフトだけでなく、ドキュメント作成にも効果的。このコースではPowerPointの使い方を学び、見やすくわかりやすい資料の作成や伝えたいことの的確な伝え方、相手へのメッセージの伝わり方などを紹介。PowerPointでの資料作成を学ぶ初心者から、既に使用している人まで、役立つ情報が満載。,Linked_in
526145,ジェームス・ホワイト、ビジュアルアーティスト/デザイナー,クリエイティブ,ジェームズ・ホワイトは代理店で働いた後、自分の美学を探求し、創造的に実りの多い活動を行っていた。彼は映画のポスター作りに情熱を傾けたが、著作権の問題で挫折した。しかし、彼はこの挫折から立ち直り、「シグナル・ノイズ」スタジオを設立し、新しい機会を生み出した。,Linked_in
527475,Grunt.jsを使ったWeb制作のワークフロー,テクノロジー,Gruntは自動化ツールで、コンパイルやビルドを行う。本コースではGruntの使い方やプラグインのインストール方法、ファイルの作成、SASSによるスタイルシート生成、Bowerの活用方法を解説する。Gruntを使えば、手間のかかる作業が簡単になる。Ray Villalobos氏のコースを日本のユーザー向けに再構成。,Linked_in
5024846,WordPress 5 入門,テクノロジー,WordPressは60%のマーケットシェアを誇るCMSで、初心者でも簡単にホームページを作成し、情報発信ができます。このコースでは、WordPress 5の基本的な使い方を解説し、初期設定やテーマのカスタマイズ、プラグインの追加手順、ブロックエディタの操作方法まで丁寧に説明します。,Linked_in
5914222,Windows：Copilot機能を活用する,ビジネス,Microsoft提供の生成AIサービスであるCopilotは、Windowsに搭載され、無料で利用できる。Web検索に加え、Windows設定変更やスクリーンショット撮影、EdgeとのWebサイト要約などの機能を提供する。このコースでは、Windowsで利用できるCopilotの機能について解説する。,Linked_in
5021336,Excel 基本講座：数式・書式設定・表作成（Office 365/Microsoft 365）,ビジネス,Excelには多くの機能やツールがあるが、知らずに使っている人もいる。基本操作をマスターすることで作業時間を短縮し、生産性を高めることができる。このコースでは、Microsoft 365で利用できるExcelの数式・書式設定・表作成の基本機能を解説する。四則演算の基礎知識や頻繁に使用する関数、表の調整や表示形式変更などを説明する。,Linked_in
5024845,WordPress 5 基本講座,テクノロジー,WordPressは世界60%のシェアを占めるCMSで、SNSやブログのように簡単にホームページを作成したり、編集できます。Web担当者やブログ初心者向けに、基本的な使い方や初期設定、外観カスタマイズ、プラグインの追加手順、ブロックエディタの活用法などを解説します。,Linked_in
2865033,Adobe XD 基本講座,"クリエイティブ, テクノロジー",Adobe XDはワイヤーフレーム、デザイン、プロトタイプの作成や共有ができるアプリであり、ボタンやページ遷移の設計も簡単に行えます。このコースでは基本的な使い方を解説し、画像やテキストの効率的な流し込み、一元管理されたカラーとテキスト、ボタン操作やコメントの追加などをサイトの作成を通じて詳しく説明します。,Linked_in
